Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"5,648.00","5,663.99",605.38,"1,218.91"
"5,664.00","5,687.99",604.38,"1,217.91"
"5,688.00","5,695.99",603.38,"1,216.91"
"5,696.00","5,711.99",602.38,"1,215.91"
"5,712.00","5,735.99",601.38,"1,214.91"
"5,736.00","5,743.99",600.38,"1,213.91"
"5,744.00","5,759.99",599.38,"1,212.91"
"5,760.00","5,783.99",598.38,"1,211.91"
"5,784.00","5,791.99",597.38,"1,210.91"
"5,792.00","5,807.99",596.38,"1,209.91"
"5,808.00","5,831.99",595.38,"1,208.91"
"5,832.00","5,839.99",594.38,"1,207.91"
"5,840.00","5,855.99",593.38,"1,206.91"
"5,856.00","5,879.99",592.38,"1,205.91"
"5,880.00","5,887.99",591.38,"1,204.91"
"5,888.00","5,903.99",590.38,"1,203.91"
"5,904.00","5,927.99",589.38,"1,202.91"
"5,928.00","5,935.99",588.38,"1,201.91"
"5,936.00","5,951.99",587.38,"1,200.91"
"5,952.00","5,975.99",586.38,"1,199.91"
"5,976.00","5,983.99",585.38,"1,198.91"
"5,984.00","5,999.99",584.38,"1,197.91"
"6,000.00","6,023.99",583.38,"1,196.91"
"6,024.00","6,031.99",582.38,"1,195.91"
"6,032.00","6,047.99",581.38,"1,194.91"
"6,048.00","6,071.99",580.38,"1,193.91"
"6,072.00","6,079.99",579.38,"1,192.91"
"6,080.00","6,095.99",578.38,"1,191.91"
"6,096.00","6,119.99",577.38,"1,190.91"
"6,120.00","6,127.99",576.38,"1,189.91"
"6,128.00","6,143.99",575.38,"1,188.91"
"6,144.00","6,167.99",574.38,"1,187.91"
"6,168.00","6,175.99",573.38,"1,186.91"
"6,176.00","6,191.99",572.38,"1,185.91"
"6,192.00","6,215.99",571.38,"1,184.91"
"6,216.00","6,223.99",570.38,"1,183.91"
"6,224.00","6,239.99",569.38,"1,182.91"
"6,240.00","6,263.99",568.38,"1,181.91"
"6,264.00","6,271.99",567.38,"1,180.91"
"6,272.00","6,287.99",566.38,"1,179.91"
"6,288.00","6,311.99",565.38,"1,178.91"
"6,312.00","6,319.99",564.38,"1,177.91"
"6,320.00","6,335.99",563.38,"1,176.91"
"6,336.00","6,359.99",562.38,"1,175.91"
"6,360.00","6,367.99",561.38,"1,174.91"
"6,368.00","6,383.99",560.38,"1,173.91"
"6,384.00","6,407.99",559.38,"1,172.91"
"6,408.00","6,415.99",558.38,"1,171.91"
"6,416.00","6,431.99",557.38,"1,170.91"
"6,432.00","6,455.99",556.38,"1,169.91"
"6,456.00","6,463.99",555.38,"1,168.91"
"6,464.00","6,479.99",554.38,"1,167.91"
"6,480.00","6,503.99",553.38,"1,166.91"
"6,504.00","6,511.99",552.38,"1,165.91"
"6,512.00","6,527.99",551.38,"1,164.91"
"6,528.00","6,551.99",550.38,"1,163.91"
"6,552.00","6,559.99",549.38,"1,162.91"
"6,560.00","6,575.99",548.38,"1,161.91"
"6,576.00","6,599.99",547.38,"1,160.91"
"6,600.00","6,607.99",546.38,"1,159.91"
"6,608.00","6,623.99",545.38,"1,158.91"
"6,624.00","6,647.99",544.38,"1,157.91"
"6,648.00","6,655.99",543.38,"1,156.91"
"6,656.00","6,671.99",542.38,"1,155.91"
