Amount Effective from October to December 2021/Montant en vigueur en octobre à décembre 2021,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"20,352.00","20,399.99",536.86,"1,172.12"
"20,400.00","20,447.99",535.86,"1,171.12"
"20,448.00","20,495.99",534.86,"1,170.12"
"20,496.00","20,543.99",533.86,"1,169.12"
"20,544.00","20,591.99",532.86,"1,168.12"
"20,592.00","20,639.99",531.86,"1,167.12"
"20,640.00","20,687.99",530.86,"1,166.12"
"20,688.00","20,735.99",529.86,"1,165.12"
"20,736.00","20,783.99",528.86,"1,164.12"
"20,784.00","20,831.99",527.86,"1,163.12"
"20,832.00","20,879.99",526.86,"1,162.12"
"20,880.00","20,927.99",525.86,"1,161.12"
"20,928.00","20,975.99",524.86,"1,160.12"
"20,976.00","21,023.99",523.86,"1,159.12"
"21,024.00","21,071.99",522.86,"1,158.12"
"21,072.00","21,119.99",521.86,"1,157.12"
"21,120.00","21,167.99",520.86,"1,156.12"
"21,168.00","21,215.99",519.86,"1,155.12"
"21,216.00","21,263.99",518.86,"1,154.12"
"21,264.00","21,311.99",517.86,"1,153.12"
"21,312.00","21,359.99",516.86,"1,152.12"
"21,360.00","21,407.99",515.86,"1,151.12"
"21,408.00","21,455.99",514.86,"1,150.12"
"21,456.00","21,503.99",513.86,"1,149.12"
"21,504.00","21,551.99",512.86,"1,148.12"
"21,552.00","21,599.99",511.86,"1,147.12"
"21,600.00","21,647.99",510.86,"1,146.12"
"21,648.00","21,695.99",509.86,"1,145.12"
"21,696.00","21,743.99",508.86,"1,144.12"
"21,744.00","21,791.99",507.86,"1,143.12"
"21,792.00","21,839.99",506.86,"1,142.12"
"21,840.00","21,887.99",505.86,"1,141.12"
"21,888.00","21,935.99",504.86,"1,140.12"
"21,936.00","21,983.99",503.86,"1,139.12"
"21,984.00","22,031.99",502.86,"1,138.12"
"22,032.00","22,079.99",501.86,"1,137.12"
"22,080.00","22,127.99",500.86,"1,136.12"
"22,128.00","22,175.99",499.86,"1,135.12"
"22,176.00","22,223.99",498.86,"1,134.12"
"22,224.00","22,271.99",497.86,"1,133.12"
"22,272.00","22,319.99",496.86,"1,132.12"
"22,320.00","22,367.99",495.86,"1,131.12"
"22,368.00","22,415.99",494.86,"1,130.12"
"22,416.00","22,463.99",493.86,"1,129.12"
"22,464.00","22,511.99",492.86,"1,128.12"
"22,512.00","22,559.99",491.86,"1,127.12"
"22,560.00","22,607.99",490.86,"1,126.12"
"22,608.00","22,655.99",489.86,"1,125.12"
"22,656.00","22,703.99",488.86,"1,124.12"
"22,704.00","22,751.99",487.86,"1,123.12"
"22,752.00","22,799.99",486.86,"1,122.12"
"22,800.00","22,847.99",485.86,"1,121.12"
"22,848.00","22,895.99",484.86,"1,120.12"
"22,896.00","22,943.99",483.86,"1,119.12"
"22,944.00","22,991.99",482.86,"1,118.12"
"22,992.00","23,039.99",481.86,"1,117.12"
"23,040.00","23,087.99",480.86,"1,116.12"
"23,088.00","23,135.99",479.86,"1,115.12"
"23,136.00","23,183.99",478.86,"1,114.12"
"23,184.00","23,231.99",477.86,"1,113.12"
"23,232.00","23,279.99",476.86,"1,112.12"
"23,280.00","23,327.99",475.86,"1,111.12"
"23,328.00","23,375.99",474.86,"1,110.12"
"23,376.00","23,423.99",473.86,"1,109.12"
"23,424.00","23,471.99",472.86,"1,108.12"
"23,472.00","23,519.99",471.86,"1,107.12"
"23,520.00","23,567.99",470.86,"1,106.12"
"23,568.00","23,615.99",469.86,"1,105.12"
"23,616.00","23,663.99",468.86,"1,104.12"
"23,664.00","23,711.99",467.86,"1,103.12"
"23,712.00","23,759.99",466.86,"1,102.12"
"23,760.00","23,807.99",465.86,"1,101.12"
"23,808.00","23,855.99",464.86,"1,100.12"
"23,856.00","23,903.99",463.86,"1,099.12"
"23,904.00","23,951.99",462.86,"1,098.12"
"23,952.00","23,999.99",461.86,"1,097.12"
"24,000.00","24,047.99",460.86,"1,096.12"
"24,048.00","24,095.99",459.86,"1,095.12"
"24,096.00","24,143.99",458.86,"1,094.12"
"24,144.00","24,191.99",457.86,"1,093.12"
"24,192.00","24,239.99",456.86,"1,092.12"
"24,240.00","24,287.99",455.86,"1,091.12"
"24,288.00","24,335.99",454.86,"1,090.12"
"24,336.00","24,383.99",453.86,"1,089.12"
"24,384.00","24,431.99",452.86,"1,088.12"
"24,432.00","24,479.99",451.86,"1,087.12"
"24,480.00","24,527.99",450.86,"1,086.12"
"24,528.00","24,575.99",449.86,1085.12
"24,576.00","24,623.99",448.86,1084.12
"24,624.00","24,671.99",447.86,1083.12
"24,672.00","24,719.99",446.86,1082.12
"24,720.00","24,767.99",445.86,1081.12
"24,768.00","24,815.99",444.86,1080.12
"24,816.00","24,863.99",443.86,1079.12
"24,864.00","24,911.99",442.86,1078.12
"24,912.00","24,959.99",441.86,1077.12
"24,960.00","25,007.99",440.86,1076.12
